Feature,Mann_Whitney_U,Mann_Whitney_p,Chi_Square_Stats,Chi_Square_p,Chi_Square_Degree_of_Freedom,Expected_Freq_Validation,n_no_attack,n_attack,Mann_Whitney_p_display,Chi_p_display
age,167644.0,1.4676312173703238e-14,178.7660327943217,1.872323037739108e-19,40,True,499,526,<0.001,<0.001
sex,165006.0,3.7570037550329775e-19,78.86305133922973,6.656820681726434e-19,1,True,499,526,<0.001,<0.001
cp,65882.5,4.68309414665004e-50,280.98224857035257,1.2980664694820452e-60,3,True,499,526,<0.001,<0.001
trestbps,148623.0,0.00023305716378225312,156.76597306912112,1.82415367983895e-13,48,False,499,526,<0.001,<0.001
chol,151386.5,2.104397673633351e-05,597.1386241903112,2.4633681973819975e-54,151,False,499,526,<0.001,<0.001
fbs,135088.5,0.1878176701601234,1.5133794801852827,0.21862413102893974,1,True,499,526,0.188,0.219
restecg,111749.0,2.3964948648494485e-06,35.784315178352564,1.6964251003877617e-08,2,True,499,526,<0.001,<0.001
thalach,66089.0,4.785574678935264e-43,368.27062512503994,2.455372065728793e-35,90,False,499,526,<0.001,<0.001
exang,185584.5,1.230652717940765e-44,194.81553908607899,2.8266374296634637e-44,1,True,499,526,<0.001,<0.001
oldpeak,196450.5,1.4469728736988233e-44,311.01232457284607,4.2032780269707946e-44,39,False,499,526,<0.001,<0.001
slope,81236.0,3.823851904331523e-32,155.87294465816163,1.421085239254566e-34,2,True,499,526,<0.001,<0.001
ca,192987.5,1.1034654396562062e-47,257.2929975952664,1.747013451046176e-54,4,True,499,526,<0.001,<0.001
thal,184866.5,2.505494082759357e-37,280.33068874382866,1.795894354453151e-60,3,False,499,526,<0.001,<0.001
