Feature,Mann_Whitney_U,Mann_Whitney_p,Chi_Square_Stats,Chi_Square_p,Chi_Square_Degree_of_Freedom,Expected_Freq_Validation,n_no_attack,n_attack,Mann_Whitney_p_display,Chi_p_display
age,14394.0,4.626181361722365e-05,49.93548499941655,0.134919808755862,40,False,138,164,<0.001,0.135
sex,14316.0,8.671310886767985e-07,23.083879459669042,1.5508552054949547e-06,1,True,138,164,<0.001,<0.001
cp,5707.5,1.5503568899189049e-15,80.97876150785669,1.8926838351935918e-17,3,True,138,164,<0.001,<0.001
trestbps,12931.0,0.03222615575138192,47.07422582258187,0.5107234863979468,48,False,138,164,0.032,0.511
chol,12850.5,0.04242517740485375,172.17104689525155,0.11438897335987963,151,False,138,164,0.042,0.114
fbs,11533.0,0.6424035869285418,0.09240835568001494,0.7611374700928197,1,True,138,164,0.642,0.761
restecg,9644.5,0.0112089357125613,9.729682311241927,0.007713053269318974,2,False,138,164,0.011,0.008
thalach,5725.0,1.3977197245773809e-13,109.5254797507979,0.07918631828372703,90,False,138,164,<0.001,0.079
exang,15961.0,4.138141319533649e-14,55.45620298199192,9.556466486179178e-14,1,True,138,164,<0.001,<0.001
oldpeak,16722.5,3.346992658271788e-13,88.80606299428692,9.414204390124354e-06,39,False,138,164,<0.001,<0.001
slope,6987.5,1.4749239370969142e-10,46.889476601618135,6.577782760917925e-11,2,True,138,164,<0.001,<0.001
ca,16770.5,5.45114881696347e-16,73.68984583164412,3.771038067427657e-15,4,False,138,164,<0.001,<0.001
thal,15972.5,2.9449798924985113e-12,84.61031794685029,3.146295138318122e-18,3,False,138,164,<0.001,<0.001
