Feature,r,p_val,Classification,n
cp,0.4320795915664077,3.6273838772544235e-15,+ Moderate,302
thalach,0.4199550436638699,2.476146047923589e-14,+ Moderate,302
slope,0.3439395324893869,8.221388831030162e-10,+ Moderate,302
restecg,0.13487444702864618,0.019033607668275408,No Correlation,302
fbs,-0.02682597056597018,0.6424070490676519,No Correlation,302
chol,-0.08143720051844142,0.15803697464249777,No Correlation,302
trestbps,-0.1462686638415544,0.010926538861949197,No Correlation,302
age,-0.221475827766562,0.00010394837285416845,No Correlation,302
sex,-0.28360935779586227,5.402435780432229e-07,No Correlation,302
thal,-0.34310071238956447,9.089044024818302e-10,- Moderate,302
ca,-0.4089919797569267,1.3173455415474294e-13,- Moderate,302
oldpeak,-0.4291458328867384,5.814566948031603e-15,- Moderate,302
exang,-0.43560076171361883,2.04646758906984e-15,- Moderate,302
