Feature,rho (ρ),p_val,Classification,n
cp,0.46489444677778774,4.312611003783873e-56,+ Moderate,1025
thalach,0.4298315202978959,2.4299452717961977e-47,+ Moderate,1025
slope,0.3688076361740059,2.2352227016653866e-34,+ Moderate,1025
restecg,0.1474020168213098,2.1443746283897093e-06,No Correlation,1025
fbs,-0.04116354746465127,0.1878967494224915,No Correlation,1025
trestbps,-0.11500935002661346,0.00022438378983732877,No Correlation,1025
chol,-0.1329256777139039,1.9594277394565386e-05,No Correlation,1025
age,-0.24032591922346577,6.221260799704872e-15,No Correlation,1025
sex,-0.27950075729226254,7.523831193729904e-20,No Correlation,1025
thal,-0.3989732462668182,1.902987988549044e-40,- Moderate,1025
oldpeak,-0.4376685241744825,3.2926670635237934e-49,- Moderate,1025
exang,-0.43802855005584634,2.6949316902694255e-49,- Moderate,1025
ca,-0.45332898177827546,4.314066374895532e-53,- Moderate,1025
