Feature,rho (ρ),p_val,Classification,n
cp,0.45958935474915236,3.45637064531395e-17,+ Moderate,302
thalach,0.42636797713893315,9.051678417240114e-15,+ Moderate,302
slope,0.36939058036624595,3.388674986608448e-11,+ Moderate,302
restecg,0.14622307951540886,0.010951653907206791,No Correlation,302
fbs,-0.026825970565970213,0.6424070490676514,No Correlation,302
chol,-0.11700648571015242,0.042162967552230965,No Correlation,302
trestbps,-0.1234776624347691,0.03194246651172855,No Correlation,302
age,-0.2348452903988662,3.755240402707282e-05,No Correlation,302
sex,-0.2836093577958625,5.402435780432106e-07,No Correlation,302
thal,-0.402382450828733,3.505090190667086e-13,- Moderate,302
oldpeak,-0.4196305815034515,2.6040103639720537e-14,- Moderate,302
exang,-0.435600761713619,2.0464675890698477e-15,- Moderate,302
ca,-0.4669763961261409,9.207567652234638e-18,- Moderate,302
