,Permutation RF,Permutation CART,Permutation KNN,Decision Tree,Random Forest,XGBoost,Permutation XGBoost
age,0.019,0.087,0.022,0.081,0.086,0.039,0.059
sex,0.012,0.025,0.0,0.035,0.029,0.056,0.035
cp,0.061,0.184,0.0,0.273,0.132,0.249,0.099
trestbps,-0.0,0.043,0.051,0.06,0.068,0.03,0.006
chol,0.005,0.077,0.091,0.069,0.08,0.031,0.027
fbs,-0.003,0.0,0.0,0.0,0.01,0.005,-0.003
restecg,-0.003,0.0,0.0,0.0,0.018,0.025,0.018
thalach,0.017,0.066,0.162,0.069,0.125,0.036,0.034
exang,0.009,0.027,0.0,0.016,0.042,0.069,0.019
oldpeak,0.024,0.107,0.002,0.087,0.123,0.062,0.049
slope,0.004,0.023,0.0,0.034,0.051,0.063,0.006
ca,0.068,0.074,0.001,0.123,0.123,0.131,0.099
thal,0.033,0.123,0.0,0.154,0.113,0.203,0.06
