,Permutation RF,Permutation CART,Permutation KNN,Decision Tree,Random Forest,XGBoost,Permutation XGBoost
age,-0.01,0.014,0.029,0.089,0.092,0.044,0.01
sex,0.007,0.005,0.0,0.062,0.031,0.06,0.022
cp,0.036,0.056,0.0,0.302,0.152,0.271,0.023
trestbps,-0.008,0.021,0.037,0.073,0.073,0.039,0.008
chol,-0.014,-0.008,0.023,0.03,0.079,0.039,-0.008
fbs,-0.001,0.0,0.0,0.0,0.01,0.0,0.0
restecg,-0.003,-0.002,0.0,0.015,0.026,0.05,0.0
thalach,-0.007,0.005,0.118,0.119,0.133,0.037,0.003
exang,0.004,0.0,0.0,0.013,0.045,0.041,0.008
oldpeak,-0.016,0.056,0.0,0.152,0.127,0.102,-0.023
slope,0.009,0.0,0.0,0.0,0.043,0.047,0.019
ca,0.075,0.057,-0.002,0.103,0.103,0.104,0.084
thal,0.045,0.013,0.0,0.041,0.085,0.166,0.041
