,LightBoost,CatBoost,Random Forest,XGBoost,Gradient Boost
age,0.74,0.74,0.74,0.74,0.74
sex,0.727,0.744,0.744,0.744,0.737
cp,0.844,0.857,0.857,0.857,0.847
trestbps,0.903,0.886,0.906,0.886,0.906
chol,0.916,0.906,0.964,0.942,0.906
fbs,0.935,0.932,0.961,0.955,0.916
restecg,0.974,0.909,0.981,0.981,0.948
thalach,0.955,0.925,0.99,0.971,0.942
exang,0.977,0.919,0.981,0.971,0.955
oldpeak,0.968,0.935,0.981,0.99,0.964
slope,0.955,0.942,0.981,0.981,0.951
ca,0.971,0.945,0.99,0.981,0.964
thal,0.977,0.945,0.981,0.981,0.955
