,LightBoost,CatBoost,Random Forest,XGBoost,Gradient Boost
age,0.648,0.648,0.648,0.648,0.648
sex,0.648,0.648,0.626,0.637,0.648
cp,0.769,0.78,0.769,0.802,0.78
trestbps,0.791,0.78,0.791,0.769,0.802
chol,0.736,0.769,0.725,0.714,0.714
fbs,0.736,0.747,0.747,0.736,0.692
restecg,0.736,0.758,0.758,0.714,0.725
thalach,0.747,0.758,0.725,0.725,0.725
exang,0.747,0.769,0.791,0.736,0.747
oldpeak,0.769,0.791,0.769,0.747,0.736
slope,0.736,0.78,0.725,0.758,0.736
ca,0.747,0.791,0.78,0.758,0.736
thal,0.747,0.769,0.813,0.758,0.747
