CV_Strategy,Feature_Set,Num_Features,Test_Accuracy_Mean,Test_Accuracy_Std,Test_Precision_Mean,Test_Recall_Mean,Test_F1_Mean,Test_ROC_AUC_Mean,Train_Accuracy_Mean,Train_Accuracy_Std,Overfit_Gap,Test_Accuracy_Folds
5-Fold,All_13,13,0.9960975609756098,0.007804878048780495,1.0,0.9923809523809524,0.996116504854369,1.0,1.0,0.0,0.0039024390243902474,"[1.0, 1.0, 1.0, 0.9804878048780488, 1.0]"
5-Fold,Top8_ML_Borda,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5-Fold,Top_Stats_Effect,7,0.9960975609756098,0.007804878048780495,1.0,0.9923809523809524,0.996116504854369,1.0,1.0,0.0,0.0039024390243902474,"[1.0, 1.0, 1.0, 0.9804878048780488, 1.0]"
5-Fold,Top_Agreement,5,0.9892682926829268,0.007169238271560528,0.9924487195297406,0.9866666666666667,0.9894720412264011,0.9997523264994962,0.9968292682926829,0.000597436522630044,0.007560975609756104,"[0.9951219512195122, 0.9951219512195122, 0.9902439024390244, 0.975609756097561, 0.9902439024390244]"
5-Fold,Top3_Paper,3,0.846829268292683,0.025922595620656422,0.825176501860432,0.8916801437556154,0.8568560572036814,0.9208969152440849,0.8570731707317073,0.006562743437596937,0.010243902439024288,"[0.8682926829268293, 0.8780487804878049, 0.8341463414634146, 0.8048780487804879, 0.848780487804878]"
10-Fold,All_13,13,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10-Fold,Top8_ML_Borda,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10-Fold,Top_Stats_Effect,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10-Fold,Top_Agreement,5,0.9931753283837808,0.006230142479585466,0.9943745632424879,0.9924528301886794,0.9933328198281469,0.9999038239388642,0.9964228219307503,0.0006939526137070009,0.0032474935469695154,"[1.0, 0.9902912621359223, 1.0, 0.9902912621359223, 0.9805825242718447, 1.0, 1.0, 0.9901960784313726, 0.9901960784313726, 0.9901960784313726]"
10-Fold,Top3_Paper,3,0.8496097468113459,0.039691810229182944,0.8320382728083189,0.8874818577648765,0.8581181614127761,0.9198772918456207,0.8566920797268173,0.00430339821466106,0.007082332915471334,"[0.8737864077669902, 0.8737864077669902, 0.8932038834951457, 0.8640776699029126, 0.8932038834951457, 0.7745098039215687, 0.8137254901960784, 0.7941176470588235, 0.8725490196078431, 0.8431372549019608]"
