Rank,SHAP_Feature,SHAP_Score,Borda_Feature,Borda_Count
1,cp,0.10361139484956507,cp,83
2,ca,0.10245877686749646,ca,75
3,thal,0.08681276018306301,thal,63
4,oldpeak,0.0692902857160144,age,59
5,thalach,0.05637123413372813,chol,57
6,exang,0.05048649795616356,oldpeak,57
7,slope,0.04512800317403651,thalach,53
8,age,0.041526860279012694,sex,49
9,sex,0.039551479308831496,exang,41
10,chol,0.026753500609876812,trestbps,39
11,trestbps,0.021795432759277686,slope,25
12,restecg,0.0139502343959923,restecg,21
13,fbs,0.0035211864297919355,fbs,15
