Rank,SHAP_Feature,SHAP_Score,Borda_Feature,Borda_Count
1,cp,0.09724315405644926,cp,83
2,ca,0.09161306083195649,ca,72
3,thal,0.08336454736577205,thal,65
4,oldpeak,0.06292484046177606,oldpeak,62
5,thalach,0.05705880006822964,age,58
6,exang,0.04928909639169908,thalach,57
7,slope,0.043431218416356464,chol,53
8,sex,0.03930798581395764,sex,44
9,age,0.03059750117633957,trestbps,40
10,chol,0.02079987062636823,slope,40
11,trestbps,0.01673498807354356,exang,35
12,restecg,0.015246678088735179,restecg,16
13,fbs,0.0021129365369464536,fbs,12
