Feature,Perm_RF,Perm_CART,Perm_KNN,Decision_Tree,Random_Forest,XGBoost,Perm_XGBoost
age,0.009658536585365862,0.11073170731707316,0.17131707317073178,0.079670067589762,0.08931302856085871,0.04119477421045303,0.044097560975609795
sex,0.010048780487804887,0.0465365853658537,0.0,0.03749021372984363,0.03605681314146417,0.07407120615243912,0.04702439024390248
cp,0.05014634146341468,0.15248780487804883,0.0,0.27000625088145924,0.1342013121766532,0.25294825434684753,0.09307317073170729
trestbps,0.0029268292682926855,0.05043902439024395,0.2609756097560976,0.05171355410520745,0.07425339868409114,0.027860049158334732,0.005658536585365859
chol,0.0033170731707317103,0.0708292682926829,0.3577560975609756,0.08803806525361657,0.07892955881827148,0.03376762196421623,0.039219512195121986
fbs,0.0,0.006731707317073177,0.0,0.010428093633182188,0.008873720141532853,0.025695694610476494,0.0
restecg,0.0,0.014926829268292696,0.0,0.018726736095473363,0.01961871211448977,0.03004264086484909,0.005951219512195127
thalach,0.007609756097560982,0.05317073170731712,0.3570731707317073,0.04340130110519109,0.12047306938037394,0.03148605301976204,0.020097560975609774
exang,0.01151219512195123,0.02887804878048783,0.0,0.03001139229644861,0.05959221930542648,0.07926727831363678,0.014243902439024403
oldpeak,0.017268292682926845,0.06731707317073167,0.0,0.10066458692742682,0.1161512602695811,0.05064621940255165,0.03600000000000003
slope,0.0,0.02400000000000002,0.0,0.033579654698149795,0.04873836505724686,0.06723883002996445,0.0014634146341463428
ca,0.05063414634146346,0.15629268292682932,0.0,0.15539825420433384,0.11675514572786522,0.11363203823566437,0.10448780487804876
thal,0.041560975609756134,0.09278048780487802,0.0,0.0808718294799056,0.09704339662214527,0.17214936017990112,0.059804878048780506
