Feature,Perm_RF,Perm_CART,Perm_KNN,Decision_Tree,Random_Forest,XGBoost,Perm_XGBoost
age,0.02152317880794702,0.07516556291390727,0.0274834437086093,0.0612350031650138,0.09005426350862582,0.037577178329229355,0.058278145695364235
sex,0.01622516556291389,0.03741721854304634,0.0,0.022512987001898445,0.03870279776106893,0.06577539443969727,0.052649006622516537
cp,0.06788079470198674,0.17218543046357612,0.0003311258278145712,0.26483981858239053,0.12803279991020322,0.22166036069393158,0.06556291390728476
trestbps,0.007284768211920567,0.04205298013245033,0.06622516556291394,0.055879126059819414,0.07101890413524843,0.02853679656982422,0.007284768211920567
chol,0.012913907284768189,0.08046357615894038,0.1036423841059603,0.11741254692022714,0.07406318795175172,0.026635296642780304,0.029139072847682124
fbs,0.0013245033112582849,0.0,-0.0026490066225165697,0.0,0.007528685327653027,0.03805099427700043,0.0
restecg,0.004635761589403997,0.015562913907284759,0.0,0.01868151290208554,0.02151947838301646,0.02522139437496662,0.0062913907284768535
thalach,0.02549668874172185,0.04072847682119205,0.18377483443708612,0.04278001937091082,0.134202263029461,0.03633931279182434,0.02847682119205296
exang,0.015562913907284748,0.025827814569536443,0.0,0.02048411502421659,0.06083023708257582,0.10384534299373627,0.014238410596026485
oldpeak,0.025165562913907293,0.08211920529801324,0.0009933774834437136,0.09334711763643389,0.11501786439272374,0.06204576417803764,0.028807947019867542
slope,0.013907284768211913,0.03443708609271523,0.001986754966887427,0.04362196805197866,0.051134423560937864,0.04635567590594292,0.014900662251655605
ca,0.0652317880794702,0.12549668874172185,-0.0003311258278145712,0.1465365818034085,0.10804271445704165,0.12756231427192688,0.11788079470198673
thal,0.04271523178807947,0.12649006622516556,-0.0009933774834437136,0.11266920348161662,0.09985238049969233,0.18039412796497345,0.051655629139072845
