Num_Features,Random_Forest,Gradient_Boosting,XGBoost,CatBoost,LightGBM
1,0.76,0.76,0.76,0.76,0.76
2,0.7541463414634146,0.7521951219512195,0.7541463414634146,0.751219512195122,0.7492682926829268
3,0.846829268292683,0.8478048780487806,0.8458536585365855,0.8458536585365855,0.8487804878048781
4,0.937560975609756,0.893658536585366,0.9385365853658536,0.878048780487805,0.9365853658536585
5,1.0,0.9414634146341463,1.0,0.8985365853658538,1.0
6,1.0,0.9639024390243902,1.0,0.9258536585365853,1.0
7,1.0,0.9590243902439024,1.0,0.9346341463414634,1.0
8,0.9960975609756098,0.9609756097560975,1.0,0.9336585365853658,1.0
9,0.9960975609756098,0.968780487804878,1.0,0.9395121951219512,1.0
10,1.0,0.9746341463414634,1.0,0.9414634146341463,1.0
11,0.9960975609756098,0.9726829268292683,1.0,0.9473170731707317,1.0
12,1.0,0.9746341463414634,1.0,0.9570731707317073,1.0
13,0.9960975609756098,0.9717073170731707,1.0,0.9551219512195122,1.0
