Feature,Chi2_Statistic,df,p_value_raw,p_value_bonferroni,cramers_v,effect_size_magnitude,significant_original,significant_bonferroni
age,178.7660327943217,40,1.872323037739108e-19,2.4340199490608406e-18,inf,Large,Yes,Yes
sex,78.86305133922973,1,6.656820681726434e-19,8.653866886244364e-18,inf,Large,Yes,Yes
cp,280.98224857035257,3,1.2980664694820452e-60,1.687486410326659e-59,inf,Large,Yes,Yes
trestbps,156.76597306912112,48,1.82415367983895e-13,2.371399783790635e-12,inf,Large,Yes,Yes
chol,597.1386241903112,151,2.4633681973819975e-54,3.202378656596597e-53,inf,Large,Yes,Yes
fbs,1.5133794801852827,1,0.21862413102893974,1.0,inf,Large,No,No
restecg,35.784315178352564,2,1.6964251003877617e-08,2.2053526305040903e-07,inf,Large,Yes,Yes
thalach,368.27062512503994,90,2.455372065728793e-35,3.191983685447431e-34,inf,Large,Yes,Yes
exang,194.81553908607899,1,2.8266374296634637e-44,3.674628658562503e-43,inf,Large,Yes,Yes
oldpeak,311.01232457284607,39,4.2032780269707946e-44,5.464261435062033e-43,inf,Large,Yes,Yes
slope,155.87294465816163,2,1.421085239254566e-34,1.8474108110309358e-33,inf,Large,Yes,Yes
ca,257.2929975952664,4,1.747013451046176e-54,2.271117486360029e-53,inf,Large,Yes,Yes
thal,280.33068874382866,3,1.795894354453151e-60,2.3346626607890964e-59,inf,Large,Yes,Yes
