Feature,Chi2_Statistic,df,p_value_raw,p_value_bonferroni,cramers_v,effect_size_magnitude,significant_original,significant_bonferroni
age,49.93548499941655,40,0.134919808755862,1.0,0.4066316368379842,Large,No,No
sex,23.083879459669042,1,1.5508552054949547e-06,2.016111767143441e-05,0.2764718556246666,Small,Yes,Yes
cp,80.97876150785669,3,1.8926838351935918e-17,2.4604889857516695e-16,0.5178239028828975,Large,Yes,Yes
trestbps,47.07422582258187,48,0.5107234863979468,1.0,0.3948099795374024,Large,No,No
chol,172.17104689525155,151,0.11438897335987963,1.0,0.7550515242610351,Large,No,No
fbs,0.09240835568001494,1,0.7611374700928197,1.0,0.01749251076075934,Negligible,No,No
restecg,9.729682311241927,2,0.007713053269318974,0.10026969250114667,0.17949231486842987,Small,Yes,No
thalach,109.5254797507979,90,0.07918631828372703,1.0,0.6022185247007171,Large,No,No
exang,55.45620298199192,1,9.556466486179178e-14,1.242340643203293e-12,0.42852049099039446,Medium,Yes,Yes
oldpeak,88.80606299428692,39,9.414204390124354e-06,0.0001223846570716166,0.5422728199341735,Large,Yes,Yes
slope,46.889476601618135,2,6.577782760917925e-11,8.551117589193302e-10,0.39403447508438516,Large,Yes,Yes
ca,73.68984583164412,4,3.771038067427657e-15,4.902349487655955e-14,0.4939697480871796,Large,Yes,Yes
thal,84.61031794685029,3,3.146295138318122e-18,4.0901836798135586e-17,0.5293076758540795,Large,Yes,Yes
