Feature,r,Correlation_Degree,Effect_Size,Effect_Size_Class,p_val,p_val_corrected,CI_lower,CI_upper,Significant
age,-0.2403259192234657,Low Degree,Small,Small,6.221260799704872e-15,8.087639039616333e-14,-0.2927101180937159,-0.1792625788805645,Yes
sex,-0.2795007572922625,Low Degree,Small,Small,7.523831193729904e-20,9.780980551848877e-19,-0.3305073514687917,-0.2204049208236436,Yes
cp,0.4648944467777877,Moderate Degree,Medium,Medium,4.312611003783873e-56,5.606394304919035e-55,0.4102855544369926,0.5203305515066265,Yes
trestbps,-0.1150093500266134,Low Degree,Small,Small,0.0002243837898373,0.0029169892678852,-0.1775343245673361,-0.0524990485907925,Yes
chol,-0.1329256777139039,Low Degree,Small,Small,1.9594277394565382e-05,0.0002547256061293,-0.191788411251104,-0.072616758746717,Yes
fbs,-0.0411635474646512,Low Degree,Negligible,Negligible,0.1878967494224915,1.0,-0.1033121109712517,0.0183905378964596,No
restecg,0.1474020168213098,Low Degree,Small,Small,2.1443746283897093e-06,2.787687016906622e-05,0.0862103819777879,0.2089148013129222,Yes
thalach,0.4298315202978959,Moderate Degree,Medium,Medium,2.429945271796197e-47,3.158928853335057e-46,0.3795656104503305,0.4756278062850566,Yes
exang,-0.4380285500558463,Moderate Degree,Medium,Medium,2.694931690269425e-49,3.5034111973502533e-48,-0.4934942054326692,-0.3839222190252617,Yes
oldpeak,-0.4376685241744825,Moderate Degree,Medium,Medium,3.2926670635237934e-49,4.2804671825809317e-48,-0.487894357818574,-0.3861877868184146,Yes
slope,0.3688076361740059,Moderate Degree,Medium,Medium,2.235222701665386e-34,2.9057895121650026e-33,0.3120129222606672,0.4225479104570057,Yes
ca,-0.4533289817782754,Moderate Degree,Medium,Medium,4.314066374895532e-53,5.608286287364192e-52,-0.5042261686759923,-0.4009897250171211,Yes
thal,-0.3989732462668182,Moderate Degree,Medium,Medium,1.902987988549044e-40,2.4738843851137567e-39,-0.4559743586923631,-0.3388092141315466,Yes
