Feature,No_Disease_Mean,No_Disease_Median,No_Disease_SD,Disease_Mean,Disease_Median,Disease_SD,Mean_Diff,Median_Diff,Variability
age,56.6014,58.0,7.9621,52.5854,52.0,9.512,-4.016034146341461,-6.0,1.5499
sex,0.8261,1.0,0.3804,0.561,1.0,0.4978,-0.26512439024390233,0.0,0.1174
cp,0.4783,0.0,0.9059,1.372,2.0,0.9539,0.8936512195121953,2.0,0.048
trestbps,134.3986,130.0,18.7299,129.25,130.0,16.2047,-5.148599999999988,0.0,-2.5252
chol,251.087,249.0,49.4546,242.6402,234.5,53.4566,-8.446756097560979,-14.5,4.002
fbs,0.1594,0.0,0.3674,0.1402,0.0,0.3483,-0.019156097560975582,0.0,-0.0191
restecg,0.4493,0.0,0.5413,0.5915,1.0,0.5054,0.14216341463414633,1.0,-0.036
thalach,139.1014,142.0,22.5988,158.378,161.0,19.1991,19.27664878048779,19.0,-3.3997
exang,0.5507,1.0,0.4992,0.1402,0.0,0.3483,-0.41045609756097556,-1.0,-0.1509
oldpeak,1.5855,1.4,1.3003,0.5866,0.2,0.7817,-0.9989146341463414,-1.2,-0.5186
slope,1.1667,1.0,0.5613,1.5915,2.0,0.5946,0.42476341463414635,1.0,0.0333
ca,1.1667,1.0,1.0435,0.3415,0.0,0.8021,-0.8252365853658536,-1.0,-0.2413
thal,2.5435,3.0,0.6848,2.122,2.0,0.4671,-0.42154878048780464,-1.0,-0.2177
