Feature,Skewness_No_Disease,Skewness_Disease,Skewness_Difference,Similar_Shape,Median_No_Disease,Median_Disease,Median_Difference
age,-0.5485020098050809,0.1169556913984327,0.6654577012035137,No,58.0,52.0,-6.0
sex,-1.7395839069901504,-0.24801077271454844,1.491573134275602,No,1.0,1.0,0.0
cp,1.6495600183382024,-0.12116723393139579,1.7707272522695983,No,0.0,2.0,2.0
trestbps,0.8588723669776851,0.4333867246782598,0.4254856422994253,Yes,130.0,130.0,0.0
chol,0.31640198402981856,1.7550083318323968,1.4386063478025783,No,249.0,234.5,-14.5
fbs,1.8812583344812592,2.0912658456206463,0.2100075111393871,Yes,0.0,0.0,0.0
restecg,0.624617105633563,-0.23088033446716058,0.8554974401007236,No,0.0,1.0,1.0
thalach,-0.2967829663478996,-0.6980250007562884,0.4012420344083888,Yes,142.0,161.0,19.0
exang,-0.20619888530755426,2.0912658456206468,2.2974647309282012,No,1.0,0.0,-1.0
oldpeak,0.7413886224663224,1.6389802658802088,0.8975916434138864,No,1.4,0.2,-1.2
slope,0.03257115967683251,-1.1577785572129837,1.1903497168898163,No,1.0,2.0,1.0
ca,0.48097040487545817,2.8403458847808705,2.3593754799054123,No,1.0,0.0,-1.0
thal,-1.3353872500106203,0.042203396266973524,1.3775906462775938,No,3.0,2.0,-1.0
