Feature,U_Statistic,n_no_disease,n_disease,p_value_raw,p_value_bonferroni,rank_biserial_r,effect_size_magnitude,CI_95_lower,CI_95_upper,median_no_disease,median_disease,median_difference,significant_original,significant_bonferroni
age,14394.0,138,164,4.626181361722365e-05,0.0006014035770239075,-0.27200424178154825,Small,-0.3967115146694944,-0.1372503534817957,58.0,52.0,-6.0,Yes,Yes
sex,14316.0,138,164,8.671310886767985e-07,1.1272704152798381e-05,-0.26511134676564163,Small,-0.3608253799929303,-0.1701926475786496,1.0,1.0,0.0,Yes,Yes
cp,5707.5,138,164,1.5503568899189049e-15,2.0154639568945764e-14,0.49562566277836695,Medium,0.3878556910569106,0.598240323435843,0.0,2.0,2.0,Yes,Yes
trestbps,12931.0,138,164,0.03222615575138192,0.418940024767965,-0.14271827500883694,Small,-0.2728901555319901,-0.015552094379639354,130.0,130.0,0.0,Yes,No
chol,12850.5,138,164,0.04242517740485375,0.5515273062630988,-0.13560445387062559,Small,-0.2620338458819371,-0.012881097560975604,249.0,234.5,-14.5,Yes,No
fbs,11533.0,138,164,0.6424035869285418,1.0,-0.01917638741604799,Negligible,-0.09434870979144563,0.05708731000353484,0.0,0.0,0.0,No,No
restecg,9644.5,138,164,0.0112089357125613,0.1457161642632969,0.14771120537292326,Small,0.03662402792506188,0.26604365500176735,0.0,1.0,1.0,Yes,No
thalach,5725.0,138,164,1.3977197245773809e-13,1.8170356419505952e-12,0.49407917992223405,Medium,0.3827754948745139,0.6027869830328738,142.0,161.0,19.0,Yes,Yes
exang,15961.0,138,164,4.138141319533649e-14,5.379583715393743e-13,-0.41048073524213513,Medium,-0.5012371862849063,-0.3124690703428773,1.0,0.0,-1.0,Yes,Yes
oldpeak,16722.5,138,164,3.346992658271788e-13,4.351090455753325e-12,-0.477774832096147,Medium,-0.5812400583244963,-0.360480735242135,1.4,0.2,-1.2,Yes,Yes
slope,6987.5,138,164,1.4749239370969142e-10,1.9174011182259884e-09,0.3825114881583599,Medium,0.27912469070342877,0.481273197242842,1.0,2.0,1.0,Yes,Yes
ca,16770.5,138,164,5.45114881696347e-16,7.08649346205251e-15,-0.4820166136443973,Medium,-0.5919980558501238,-0.3769297896783315,1.0,0.0,-1.0,Yes,Yes
thal,15972.5,138,164,2.9449798924985113e-12,3.828473860248065e-11,-0.4114969954047367,Medium,-0.5179502474372569,-0.29187544185224473,3.0,2.0,-1.0,Yes,Yes
