Feature,Q1,Q3,IQR,Outliers_IQR,Outliers_Zscore,Outlier_Pct
age,48.0,61.0,13.0,0,0,0.0
sex,0.0,1.0,1.0,0,0,0.0
cp,0.0,2.0,2.0,0,0,0.0
trestbps,120.0,140.0,20.0,9,2,2.980132450331126
chol,211.0,274.75,63.75,5,4,1.6556291390728477
fbs,0.0,0.0,0.0,45,0,14.90066225165563
restecg,0.0,1.0,1.0,0,0,0.0
thalach,133.25,166.0,32.75,1,1,0.33112582781456956
exang,0.0,1.0,1.0,0,0,0.0
oldpeak,0.0,1.6,1.6,5,2,1.6556291390728477
slope,1.0,2.0,1.0,0,0,0.0
ca,0.0,1.0,1.0,24,4,7.9470198675496695
thal,2.0,3.0,1.0,2,2,0.6622516556291391
