Feature,pearson_r,p_value_raw,p_value_bonferroni,CI_95_lower,CI_95_upper,effect_size_magnitude,significant_original,significant_bonferroni
age,-0.221475827766562,0.00010394837285416845,0.00135132884710419,-0.32607914038922947,-0.11192405555050122,Small,Yes,Yes
sex,-0.28360935779586227,5.402435780432229e-07,7.023166514561897e-06,-0.3793421597585138,-0.18269605787960963,Small,Yes,Yes
cp,0.4320795915664077,3.6273838772544235e-15,4.715599040430751e-14,0.33578463695023675,0.535631923639756,Medium,Yes,Yes
trestbps,-0.1462686638415544,0.010926538861949197,0.14204500520533955,-0.24817006527680732,-0.03891891354273227,Small,Yes,No
chol,-0.08143720051844142,0.15803697464249777,1.0,-0.20369197222442667,0.032028872191876806,Negligible,No,No
fbs,-0.02682597056597018,0.6424070490676519,1.0,-0.13519675134427234,0.088176427848344,Negligible,No,No
restecg,0.13487444702864618,0.019033607668275408,0.24743689968758031,0.028244484312182693,0.24469597395700404,Small,Yes,No
thalach,0.4199550436638699,2.476146047923589e-14,3.2189898623006656e-13,0.32033003641387503,0.508808657539943,Medium,Yes,Yes
exang,-0.43560076171361883,2.04646758906984e-15,2.6604078657907918e-14,-0.533408212458673,-0.33282532467536985,Medium,Yes,Yes
oldpeak,-0.4291458328867384,5.814566948031603e-15,7.558937032441084e-14,-0.5120609653252853,-0.34456215837353654,Medium,Yes,Yes
slope,0.3439395324893869,8.221388831030162e-10,1.0687805480339211e-08,0.23417947216768328,0.4515853907060713,Medium,Yes,Yes
ca,-0.4089919797569267,1.3173455415474294e-13,1.7125492040116583e-12,-0.5116043782089392,-0.30973582807099115,Medium,Yes,Yes
thal,-0.34310071238956447,9.089044024818302e-10,1.1815757232263793e-08,-0.46474935790712796,-0.22056898790055632,Medium,Yes,Yes
