Feature,spearman_rho,p_value_raw,p_value_bonferroni,CI_95_lower,CI_95_upper,effect_size_magnitude,significant_original,significant_bonferroni
age,-0.24032591922346577,6.221260799704872e-15,8.087639039616333e-14,-0.29815542105864623,-0.18187675149020102,Small,Yes,Yes
sex,-0.27950075729226254,7.523831193729904e-20,9.780980551848875e-19,-0.3347874137070952,-0.2210434410960109,Small,Yes,Yes
cp,0.46489444677778774,4.312611003783873e-56,5.606394304919035e-55,0.4141369523334594,0.5188610454746236,Medium,Yes,Yes
trestbps,-0.11500935002661346,0.00022438378983732877,0.002916989267885274,-0.1760318872985983,-0.05408100624431671,Small,Yes,Yes
chol,-0.1329256777139039,1.9594277394565386e-05,0.00025472560612935,-0.19732647343985132,-0.07078392143771416,Small,Yes,Yes
fbs,-0.04116354746465127,0.1878967494224915,1.0,-0.10546871139413463,0.023257630919951342,Negligible,No,No
restecg,0.1474020168213098,2.1443746283897093e-06,2.787687016906622e-05,0.08610585528381848,0.2094923460276021,Small,Yes,Yes
thalach,0.4298315202978959,2.4299452717961977e-47,3.158928853335057e-46,0.374708132515535,0.4811096438273584,Medium,Yes,Yes
exang,-0.43802855005584634,2.6949316902694255e-49,3.5034111973502533e-48,-0.4855014944200272,-0.3853976720569259,Medium,Yes,Yes
oldpeak,-0.4376685241744825,3.2926670635237934e-49,4.2804671825809317e-48,-0.487598531783496,-0.37712692122666275,Medium,Yes,Yes
slope,0.3688076361740059,2.2352227016653866e-34,2.9057895121650026e-33,0.31129299145046085,0.42272300891346576,Medium,Yes,Yes
ca,-0.45332898177827546,4.314066374895532e-53,5.608286287364192e-52,-0.5077486527511047,-0.4008920895149874,Medium,Yes,Yes
thal,-0.3989732462668182,1.902987988549044e-40,2.473884385113757e-39,-0.4658226068896604,-0.3414149249460963,Medium,Yes,Yes
