Feature,spearman_rho,p_value_raw,p_value_bonferroni,CI_95_lower,CI_95_upper,effect_size_magnitude,significant_original,significant_bonferroni
age,-0.2348452903988662,3.755240402707282e-05,0.00048818125235194665,-0.3395523676927082,-0.1262175303010633,Small,Yes,Yes
sex,-0.2836093577958625,5.402435780432106e-07,7.023166514561737e-06,-0.3878977301460034,-0.18245515112351715,Small,Yes,Yes
cp,0.45958935474915236,3.45637064531395e-17,4.493281838908134e-16,0.3626374441079647,0.5533367221626303,Medium,Yes,Yes
trestbps,-0.1234776624347691,0.03194246651172855,0.41525206465247116,-0.23050409839803446,-0.015807471807268297,Small,Yes,No
chol,-0.11700648571015242,0.042162967552230965,0.5481185781790026,-0.23143518647876513,-0.01178703830230644,Small,Yes,No
fbs,-0.026825970565970213,0.6424070490676514,1.0,-0.1430167979023247,0.09191836732986604,Negligible,No,No
restecg,0.14622307951540886,0.010951653907206791,0.1423715007936883,0.02878010795621726,0.24964436117825534,Small,Yes,No
thalach,0.42636797713893315,9.051678417240114e-15,1.1767181942412149e-13,0.3222020056088028,0.5151156788931686,Medium,Yes,Yes
exang,-0.435600761713619,2.0464675890698477e-15,2.660407865790802e-14,-0.5322204936242825,-0.32524030078224203,Medium,Yes,Yes
oldpeak,-0.4196305815034515,2.6040103639720537e-14,3.3852134731636697e-13,-0.5154725114814028,-0.31758892848505826,Medium,Yes,Yes
slope,0.36939058036624595,3.388674986608448e-11,4.405277482590982e-10,0.2525940633283188,0.47371556093485584,Medium,Yes,Yes
ca,-0.4669763961261409,9.207567652234638e-18,1.1969837947905028e-16,-0.5584850207657723,-0.36218184836159434,Medium,Yes,Yes
thal,-0.402382450828733,3.505090190667086e-13,4.556617247867212e-12,-0.5077749266465882,-0.27424302780368726,Medium,Yes,Yes
