,Permutation RF,Permutation CART,Permutation KNN,Decision Tree,Random Forest,XGBoost,Permutation XGBoost
age,0.034,0.116,0.059,0.055,0.078,0.033,0.078
sex,0.015,0.024,0.0,0.026,0.029,0.054,0.056
cp,0.069,0.18,-0.006,0.275,0.135,0.267,0.122
trestbps,0.006,0.036,0.064,0.047,0.071,0.022,0.008
chol,0.013,0.1,0.117,0.096,0.075,0.03,0.044
fbs,0.0,0.0,0.0,0.008,0.008,0.026,0.0
restecg,0.0,0.008,0.0,0.015,0.019,0.025,0.006
thalach,0.027,0.062,0.183,0.054,0.122,0.037,0.04
exang,0.009,0.033,0.0,0.019,0.058,0.067,0.013
oldpeak,0.03,0.098,0.003,0.095,0.122,0.057,0.038
slope,0.0,0.035,0.0,0.044,0.046,0.077,0.01
ca,0.085,0.101,0.0,0.119,0.127,0.123,0.121
thal,0.053,0.142,0.0,0.147,0.111,0.18,0.06
