iter	Passed	Remaining
0	138	13717
1	138	6799
2	139	4497
3	139	3345
4	139	2652
5	139	2191
6	139	1859
7	140	1613
8	140	1421
9	140	1268
10	141	1141
11	141	1035
12	141	946
13	141	870
14	141	804
15	142	747
16	142	696
17	143	651
18	143	611
19	143	574
20	143	541
21	144	511
22	144	484
23	144	458
24	145	435
25	145	414
26	145	394
27	146	375
28	146	358
29	146	342
30	146	327
31	147	312
32	147	299
33	147	287
34	148	275
35	148	263
36	148	253
37	149	243
38	149	233
39	149	224
40	150	215
41	150	207
42	150	199
43	150	192
44	151	184
45	151	178
46	152	171
47	152	165
48	152	159
49	153	153
50	153	147
51	153	142
52	154	136
53	154	131
54	155	126
55	155	122
56	155	117
57	156	112
58	156	108
59	156	104
60	156	100
61	157	96
62	157	92
63	157	88
64	158	85
65	158	81
66	159	78
67	159	74
68	159	71
69	159	68
70	160	65
71	160	62
72	160	59
73	161	56
74	161	53
75	161	51
76	162	48
77	162	45
78	162	43
79	163	40
80	163	38
81	163	35
82	163	33
83	164	31
84	164	29
85	164	26
86	165	24
87	165	22
88	165	20
89	166	18
90	166	16
91	166	14
92	167	12
93	167	10
94	167	8
95	168	7
96	168	5
97	168	3
98	169	1
99	169	0
